"Week_Start","Store","Day","Forecast","Week_ID","Lag_Used"
"2014-06-01","baltimore",6,151,19,21
"2014-06-01","baltimore",7,131,19,21
"2014-06-08","baltimore",1,106,20,21
"2014-06-08","baltimore",2,80,20,21
"2014-06-08","baltimore",3,59,20,21
"2014-06-08","baltimore",4,64,20,21
"2014-06-08","baltimore",5,60,20,21
"2014-06-08","baltimore",6,98,20,21
"2014-06-08","baltimore",7,107,20,21
"2014-01-25","lancaster",1,111,1,28
"2014-01-25","lancaster",2,121,1,28
"2014-01-25","lancaster",3,113,1,28
"2014-01-25","lancaster",4,168,1,28
"2014-01-25","lancaster",5,104,1,28
"2014-01-25","lancaster",6,96,1,28
"2014-01-25","lancaster",7,203,1,28
"2014-02-01","lancaster",1,116,2,28
"2014-02-01","lancaster",2,130,2,28
"2014-02-01","lancaster",3,17,2,28
"2014-02-01","lancaster",4,127,2,28
"2014-02-01","lancaster",5,152,2,28
"2014-02-01","lancaster",6,150,2,28
"2014-02-01","lancaster",7,196,2,28
"2014-02-08","lancaster",1,150,3,28
"2014-02-08","lancaster",2,96,3,28
"2014-02-08","lancaster",3,0,3,28
"2014-02-08","lancaster",4,51,3,28
"2014-02-08","lancaster",5,125,3,28
"2014-02-08","lancaster",6,245,3,28
"2014-02-08","lancaster",7,180,3,28
"2014-02-15","lancaster",1,267,4,28
"2014-02-15","lancaster",2,160,4,28
"2014-02-15","lancaster",3,209,4,28
"2014-02-15","lancaster",4,205,4,28
"2014-02-15","lancaster",5,161,4,28
"2014-02-15","lancaster",6,207,4,28
"2014-02-15","lancaster",7,257,4,28
"2014-02-22","lancaster",1,131,5,28
"2014-02-22","lancaster",2,60,5,28
"2014-02-22","lancaster",3,155,5,28
"2014-02-22","lancaster",4,66,5,28
"2014-02-22","lancaster",5,82,5,28
"2014-02-22","lancaster",6,171,5,28
"2014-02-22","lancaster",7,250,5,28
"2014-03-01","lancaster",1,34,6,28
"2014-03-01","lancaster",2,66,6,28
"2014-03-01","lancaster",3,43,6,28
"2014-03-01","lancaster",4,46,6,28
"2014-03-01","lancaster",5,132,6,28
"2014-03-01","lancaster",6,124,6,28
"2014-03-01","lancaster",7,116,6,28
"2014-03-08","lancaster",1,194,7,28
"2014-03-08","lancaster",2,160,7,28
"2014-03-08","lancaster",3,68,7,28
"2014-03-08","lancaster",4,104,7,28
"2014-03-08","lancaster",5,100,7,28
"2014-03-08","lancaster",6,218,7,28
"2014-03-08","lancaster",7,242,7,28
"2014-03-15","lancaster",1,370,8,28
"2014-03-15","lancaster",2,295,8,28
"2014-03-15","lancaster",3,303,8,28
"2014-03-15","lancaster",4,200,8,28
"2014-03-15","lancaster",5,147,8,28
"2014-03-15","lancaster",6,102,8,28
"2014-03-15","lancaster",7,171,8,28
"2014-03-22","lancaster",1,222,9,28
"2014-03-22","lancaster",2,235,9,28
"2014-03-22","lancaster",3,172,9,28
"2014-03-22","lancaster",4,124,9,28
"2014-03-22","lancaster",5,133,9,28
"2014-03-22","lancaster",6,134,9,28
"2014-03-22","lancaster",7,169,9,28
"2014-03-29","lancaster",1,282,10,28
"2014-03-29","lancaster",2,248,10,28
"2014-03-29","lancaster",3,249,10,28
"2014-03-29","lancaster",4,190,10,28
"2014-03-29","lancaster",5,218,10,28
"2014-03-29","lancaster",6,215,10,28
"2014-03-29","lancaster",7,226,10,28
"2014-04-05","lancaster",1,202,11,28
"2014-04-05","lancaster",2,162,11,28
"2014-04-05","lancaster",3,167,11,28
"2014-04-05","lancaster",4,96,11,28
"2014-04-05","lancaster",5,134,11,28
"2014-04-05","lancaster",6,105,11,28
"2014-04-05","lancaster",7,152,11,28
"2014-04-12","lancaster",1,225,12,28
"2014-04-12","lancaster",2,165,12,28
"2014-04-12","lancaster",3,126,12,28
"2014-04-12","lancaster",4,89,12,28
"2014-04-12","lancaster",5,109,12,28
"2014-04-12","lancaster",6,125,12,28
"2014-04-12","lancaster",7,203,12,28
"2014-04-19","lancaster",1,280,13,28
"2014-04-19","lancaster",2,232,13,28
