"","J1","J2","J3","J4","J5","J6","J7","X1","X2","X3","X4","X5","X6","X7","PR1","PR2","PR3","PR4","PR5","PR6","PR7"
"baltimore",13,14,0.159074089396745,8,7,0.0860904580447823,19,11,0.129765996267088,10,11,0.0446768185123801,8,8,0.027976251184009,10,3,0.17222978300415,18,8,0.114187013707124
"lancaster",11,9,0.201969411992468,16,7,0.21985238220077,5,10,0.0835008995840326,20,2,0.278518878109753,15,9,0.117501062527299,17,10,0.274481894611381,11,2,0.213343044253997
"philadelphia",19,4,0.198919084458612,17,1,0.186930453591049,13,10,0.0350197331048548,15,8,0.287277083331719,3,10,0.015445444593206,12,0,0.136611507204361,5,8,0.0883983439765871
"richmond",6,6,0.256282554497011,18,11,0.0276741710258648,2,8,0.295582935749553,3,4,0.286657795286737,8,14,0.203847568226047,3,13,0.19247484121006,14,10,0.246484939358197
