"","J1","J2","J3","J4","J5","J6","J7","X1","X2","X3","X4","X5","X6","X7","PR1","PR2","PR3","PR4","PR5","PR6","PR7"
"baltimore",19,6,0.0523501681862399,16,7,0.177516469359398,19,14,0.187518953368999,10,12,0.23206610516645,18,12,0.220268276031129,15,8,0.0520130038261414,20,15,0.168783545913175
"lancaster",5,15,0.186088990420103,2,15,0.09129352576565,13,9,0.0265315946191549,20,10,0.232795299729332,16,14,0.178287040977739,19,8,0.0650634159799665,8,1,0.00834206237923354
"philadelphia",19,3,0.0579898815834895,6,7,0.129748594178818,20,0,0.0908914258237928,11,9,0.0798595910891891,17,3,0.220709704700857,20,12,0.112039616005495,14,4,0.294194815680385
"richmond",4,9,0.133202778920531,8,4,0.115732691832818,2,1,0.183574803010561,6,0,0.107909669517539,20,4,0.273718880536035,17,3,0.0500609488924965,3,9,0.113357760384679
