"","J1","J2","J3","J4","J5","J6","J7","X1","X2","X3","X4","X5","X6","X7","PR1","PR2","PR3","PR4","PR5","PR6","PR7"
"baltimore",9,15,0.0233020330779254,14,15,0.161479103495367,13,15,0.100413419888355,5,14,0.278598240553401,18,11,0.209756965236738,17,9,0.014968509064056,15,6,0.00766652855090797
"lancaster",3,13,0.0915939507773146,10,15,0.0783313225256279,0,6,0.159806464263238,3,3,0.295276892278343,18,2,0.0588829118991271,18,6,0.0338928776560351,15,15,0.0709378586383536
"philadelphia",7,7,0.170773287140764,16,12,0.246614489844069,19,8,0.198916399525478,2,8,0.179913662513718,7,6,0.040662479493767,20,5,0.0397096387110651,8,15,0.232061792328022
"richmond",12,11,0.142952127498575,2,0,0.0081034570466727,9,9,0.0579699804307893,18,8,0.0949757130816579,18,3,0.0697693192865699,4,15,0.272212512698024,4,14,0.102651048079133
