"","J1","J2","J3","J4","J5","J6","J7","X1","X2","X3","X4","X5","X6","X7","PR1","PR2","PR3","PR4","PR5","PR6","PR7"
"baltimore",17,5,0.126532770856284,19,3,0.291072773840278,5,13,0.0832686324371025,15,9,0.175249712518416,14,13,0.0449033432872966,9,10,0.0542679995298386,7,14,0.149949725694023
"lancaster",20,13,0.21466519057285,2,7,0.163865958200768,20,4,0.211091222148389,13,2,0.0406046376563609,13,14,0.278440528968349,20,11,0.242044756631367,15,5,0.286321098986082
"philadelphia",19,3,0.133133474760689,12,9,0.0341257414547727,20,7,0.240113730006851,16,5,0.150633044424467,8,1,0.104455695510842,18,0,0.0298803141340613,19,2,0.0118033763486892
"richmond",6,13,0.0385069760726765,6,1,0.0790770449442789,1,11,0.250382976396941,0,12,0.0731417672010139,17,9,0.172938284883276,10,2,0.173619396518916,20,0,0.214252789202146
