"","J1","J2","J3","J4","J5","J6","J7","X1","X2","X3","X4","X5","X6","X7","PR1","PR2","PR3","PR4","PR5","PR6","PR7"
"baltimore",13,7,0.0586617226945236,16,7,0.289981275144964,16,12,0.208015386387706,9,10,0.26656996216625,2,6,0.0850974960252643,2,12,0.111536876857281,15,6,0.0968110400252044
"lancaster",20,5,0.191577782761306,15,15,0.260141361155547,5,6,0.242689046845771,9,11,0.191958741866983,20,15,0.298081224155612,0,11,0.160348504828289,11,7,0.0230193441733718
"philadelphia",15,4,0.159731843392365,14,13,0.155808855802752,20,8,0.195313035137951,14,10,0.108735636016354,10,9,0.140390480007045,8,13,0.0301376937422901,7,9,0.0475049077766016
"richmond",16,2,0.0550720794126391,12,12,0.125159837747924,18,15,0.256821027654223,15,10,0.00852604389656335,16,10,0.0235442518489435,17,7,0.00268695638515055,16,11,0.201090537803248
