"","J1","J2","J3","J4","J5","J6","J7","X1","X2","X3","X4","X5","X6","X7","PR1","PR2","PR3","PR4","PR5","PR6","PR7"
"baltimore",5,7,0.121035673725419,7,9,0.299249929888174,18,11,0.190958268824033,14,8,0.102669231151231,14,12,0.0459411227842793,15,9,0.213151507289149,13,5,0.109307432756759
"lancaster",1,9,0.196560481516644,6,11,0.0158623478142545,11,7,0.265362660842948,20,7,0.0991278701461852,18,12,0.0808676508720964,1,1,0.165397908794694,12,14,0.14522253179457
"philadelphia",15,8,0.126986379968002,10,11,0.121002351329662,15,5,0.159789284085855,11,5,0.0457356501370668,18,0,0.187919321609661,18,0,0.146139862854034,20,12,0.0925900546135381
"richmond",9,6,0.186968427104875,11,8,0.122148183826357,3,11,0.0322562169050798,7,7,0.254744787910022,0,2,0.203819532645866,19,6,0.0272335527464747,0,0,0.0188980939798057
