"","J1","J2","J3","J4","J5","J6","J7","X1","X2","X3","X4","X5","X6","X7","PR1","PR2","PR3","PR4","PR5","PR6","PR7"
"baltimore",20,1,0.104175686929375,19,12,0.0995563037227839,16,11,0.0542331028031185,18,9,0.293717823573388,4,1,0.0324856388149783,11,15,0.111986921355128,18,15,0.0656017505563796
"lancaster",18,12,0.110560393100604,4,7,0.115823302930221,20,5,0.193738637957722,2,6,0.175915740220807,13,11,0.0228105233749375,13,7,0.00542556017171592,10,13,0.0147628597682342
"philadelphia",16,8,0.00732835466042161,18,1,0.245072469022125,19,15,0.0657406800426543,14,2,0.101952293375507,11,0,0.0241415007272735,3,9,0.132462254259735,3,12,0.0911342427833006
"richmond",0,11,0.0287552864989266,11,10,0.0340614284388721,5,12,0.0215616504661739,0,0,0.0820921945385635,16,9,0.0926948448177427,6,6,0.270343606872484,5,6,0.140277369436808
