"","J1","J2","J3","J4","J5","J6","J7","X1","X2","X3","X4","X5","X6","X7","PR1","PR2","PR3","PR4","PR5","PR6","PR7"
"baltimore",9,8,0.0590203045634553,2,13,0.070234664180316,12,3,0.276994492602535,9,15,0.288262530346401,3,8,0.297033937554806,0,15,0.174315480259247,20,2,0.106021540006623
"lancaster",8,13,0.240758753707632,9,15,0.197696541971527,0,5,0.161145406938158,13,13,0.172876054421067,20,14,0.186233761184849,3,14,0.299778239498846,15,8,0.285248782904819
"philadelphia",16,1,0.156865730811842,12,1,0.0238439553882927,14,6,0.268668488273397,9,5,0.179885568469763,12,2,0.0306068838341162,18,4,0.052755937515758,2,12,0.298585340031423
"richmond",11,12,0.276907915296033,15,8,0.174529529339634,14,2,0.166229879739694,2,7,0.0791261128149927,5,1,0.273942040465772,16,3,0.25477989858482,9,14,0.123527766368352
