"","J1","J2","J3","J4","J5","J6","J7","X1","X2","X3","X4","X5","X6","X7","PR1","PR2","PR3","PR4","PR5","PR6","PR7"
"baltimore",9,5,0.0209398214472458,0,14,0.20043927419465,20,10,0.28525848921854,20,12,0.0680035974131897,13,13,0.019103142991662,13,13,0.276882041897625,15,10,0.105238633509725
"lancaster",1,3,0.259773457422853,12,13,0.224868865055032,0,12,0.265555287664756,18,7,0.037388971215114,20,11,0.0424465532647446,3,10,0.080196652142331,16,1,0.141096494905651
"philadelphia",17,7,0.136206604912877,17,1,0.200372542371042,13,11,0.0774553989060223,9,6,0.160916968435049,16,12,0.226127836969681,4,6,0.185138302179985,14,0,0.134091640147381
"richmond",5,9,0.212175710708834,14,5,0.199429640360177,1,3,0.0856530698714778,16,0,0.136969997151755,11,9,0.10869032246992,3,9,0.0872559141833335,8,0,0.151767114386894
