"","J1","J2","J3","J4","J5","J6","J7","X1","X2","X3","X4","X5","X6","X7","PR1","PR2","PR3","PR4","PR5","PR6","PR7"
"baltimore",2,4,0.106998035986908,14,9,0.0944937820080668,7,8,0.0197821827605367,20,5,0.204978767805733,0,8,0.295053968019784,10,14,0.0330131305614486,17,12,0.00229853137861937
"lancaster",11,15,0.253400591318496,15,12,0.182417552755214,3,0,0.236868096725084,18,0,0.291053589689545,20,0,0.0318443162832409,14,1,0.29921248939354,15,14,0.111568174883723
"philadelphia",14,2,0.091240192623809,18,13,0.0919471720699221,15,9,0.16795551921241,13,8,0.191301016369835,2,4,0.0555785589851439,11,0,0.128391012037173,3,8,0.148076230357401
"richmond",8,0,0.110857067140751,8,9,0.162168359966017,0,10,0.0309834834421054,0,13,0.0545152051141486,6,4,0.140990568883717,9,2,0.294211776810698,18,6,0.212984873028472
