"","J1","J2","J3","J4","J5","J6","J7","X1","X2","X3","X4","X5","X6","X7","PR1","PR2","PR3","PR4","PR5","PR6","PR7"
"baltimore",5,12,0.0499638569075614,3,10,0.00471743156667799,19,0,0.276937095075846,14,5,0.0597361219581217,20,14,0.110793888894841,20,10,0.27534888451919,6,12,0.00509221362881362
"lancaster",9,10,0.0346160202752799,16,12,0.0431333157699555,9,8,0.173994058580138,7,3,0.093566009751521,6,3,0.0501631037564948,17,10,0.29096682833042,9,14,0.278812584048137
"philadelphia",17,5,0.110155385057442,14,15,0.228104373067617,4,13,0.233670379011892,17,2,0.274376358347945,19,2,0.163207621872425,10,9,0.012254126323387,15,9,0.102436431543902
"richmond",17,2,0.0822285754373297,5,1,0.259995953855105,11,5,0.11655968951527,1,15,0.206420413590968,18,3,0.234923513769172,15,11,0.0821945333154872,20,6,0.0590064796619117
