"","J1","J2","J3","J4","J5","J6","J7","X1","X2","X3","X4","X5","X6","X7","PR1","PR2","PR3","PR4","PR5","PR6","PR7"
"baltimore",2,4,0.143532157992013,2,10,0.166592856380157,13,8,0.187305139121599,12,12,0.193070401833393,20,13,0.126984998700209,13,4,0.195108046545647,3,12,0.176601334777661
"lancaster",7,7,0.115859250118956,3,6,0.0345144084887579,1,5,0.261552637838759,17,5,0.282472000736743,8,13,0.268869401025586,9,12,0.169887531339191,13,13,0.0540313621982932
"philadelphia",14,11,0.0213800400495529,16,11,0.160593241383322,11,7,0.121166908415034,7,8,0.296860513463616,19,8,0.0141305063618347,7,5,0.236056927079335,11,0,0.00476727713830769
"richmond",16,6,0.185882842470892,9,12,0.00235863290727139,9,14,0.155997600825503,12,10,0.0339714661706239,15,2,0.1236060511088,13,5,0.0533951174933463,5,9,0.0882369195576757
