"","J1","J2","J3","J4","J5","J6","J7","X1","X2","X3","X4","X5","X6","X7","PR1","PR2","PR3","PR4","PR5","PR6","PR7"
"baltimore",10,3,0.249951769527979,7,4,0.0997001176932827,10,6,0.141328760515898,14,14,0.238165049278177,10,6,0.0683371007675305,16,9,0.134144477499649,17,2,0.196855507674627
"lancaster",15,13,0.266618222510442,4,0,0.0496656244620681,8,10,0.268918705126271,20,6,0.257394107454456,14,11,0.255057628336363,16,11,0.213458474096842,13,8,0.0577417599968612
"philadelphia",17,3,0.189536329032853,13,7,0.28525524744764,19,8,0.174053811770864,7,14,0.253973349952139,10,6,0.0591521266847849,19,1,0.286569857387803,4,5,0.190133629390039
"richmond",15,3,0.124530804622918,20,7,0.184947577281855,2,0,0.0760214037727565,2,10,0.0754183052340522,10,15,0.256284764525481,6,10,0.211760337674059,1,3,0.159258617623709
