"","J1","J2","J3","J4","J5","J6","J7","X1","X2","X3","X4","X5","X6","X7","PR1","PR2","PR3","PR4","PR5","PR6","PR7"
"baltimore",11,14,0.209398978133686,6,13,0.206198046030477,19,10,0.231133966287598,1,14,0.0732290244894102,9,12,0.176340539194643,5,5,0.209250753675587,9,7,0.281378734647296
"lancaster",5,15,0.257294723158702,20,7,0.0602229266194627,5,6,0.0667251292616129,17,4,0.0156043094582856,16,12,0.193778121192008,9,14,0.131938257697038,11,1,0.0194290846819058
"philadelphia",16,6,0.0813563689123839,19,5,0.216326158843003,19,5,0.0898595784790814,11,9,0.215808150800876,7,10,0.0300229421351105,12,9,0.0930018610786647,4,8,0.287817163649015
"richmond",12,9,0.285238704574294,19,13,0.037408996000886,11,3,0.231762670213357,6,1,0.109701942047104,1,15,0.0842341153649613,9,10,0.0366518739145249,20,1,0.0130042812321335
