"","J1","J2","J3","J4","J5","J6","J7","X1","X2","X3","X4","X5","X6","X7","PR1","PR2","PR3","PR4","PR5","PR6","PR7"
"baltimore",16,15,0.27901609854307,10,15,0.112744560046121,11,15,0.0635895198443904,0,5,0.282554888399318,8,0,0.253257988463156,10,15,0.198045969754457,13,12,0.205920262704603
"lancaster",17,9,0.0608459328766912,10,8,0.178473029891029,10,2,0.189928550412878,18,7,0.188981256913394,15,8,0.0055631302529946,0,14,0.250349743408151,6,4,0.0600332926958799
"philadelphia",14,3,0.0919937398983166,18,14,0.181820410187356,14,5,0.297175181563944,11,13,0.266244800481945,12,5,0.0502177275018766,9,13,0.114155015163124,8,12,0.0637240632204339
"richmond",20,8,0.0591099502053112,15,14,0.0390229895710945,12,3,0.0814416989218444,4,9,0.055733741610311,11,14,0.142205265979283,5,5,0.195886655640788,16,11,0.0103847664082423
