"","J1","J2","J3","J4","J5","J6","J7","X1","X2","X3","X4","X5","X6","X7","PR1","PR2","PR3","PR4","PR5","PR6","PR7"
"baltimore",0,10,0.200391510687768,9,5,0.0960810080403462,20,8,0.209074006089941,18,9,0.0941221388289705,20,3,0.190627517108805,12,6,0.0164987462572753,19,8,0.0831595784286037
"lancaster",8,8,0.0297255693934858,2,15,0.222074112086557,8,3,0.101521960250102,18,3,0.292942769872025,6,11,0.0398372777737677,19,2,0.0598145884461701,11,6,0.17764313374646
"philadelphia",17,0,0.148174156760797,9,11,0.205623839143664,16,12,0.0244172077858821,11,8,0.0953236339380965,16,7,0.27209853802342,2,0,0.0177355254068971,7,1,0.071439569327049
"richmond",3,3,0.159541535843164,7,11,0.136603805352934,6,4,0.179484658269212,11,1,0.00183822708204389,19,3,0.23400744558312,4,11,0.000742783863097429,11,14,0.14566947016865
