"","J1","J2","J3","J4","J5","J6","J7","X1","X2","X3","X4","X5","X6","X7","PR1","PR2","PR3","PR4","PR5","PR6","PR7"
"baltimore",9,3,0.292704557441175,16,0,0.108996361470781,19,15,0.243708916939795,1,13,0.159871905902401,1,12,0.171343764779158,4,14,0.263315831311047,19,8,0.140431528282352
"lancaster",12,6,0.275333868549205,19,14,0.28785625656601,13,7,0.187419209978543,2,6,0.0897605687147006,16,12,0.202276750118472,5,6,0.27466930069495,5,8,0.181910730851814
"philadelphia",19,6,0.147348689683713,16,4,0.29405526467599,1,14,0.288567870855331,16,13,0.264239164162427,5,1,0.189323115698062,19,14,0.0522602868033573,8,12,0.024722028686665
"richmond",18,10,0.0306073845829815,15,4,0.289027737476863,1,1,0.121822728705592,14,2,0.247934191999957,17,6,0.0660782449878752,14,11,0.0688112755073234,9,7,0.210653133457527
