"","J1","J2","J3","J4","J5","J6","J7","X1","X2","X3","X4","X5","X6","X7","PR1","PR2","PR3","PR4","PR5","PR6","PR7"
"baltimore",3,12,0.297182605345733,9,15,0.183500408800319,12,7,0.287940830737352,10,10,0.184602599102072,17,10,0.0931718861684203,9,14,0.111529541574419,19,11,0.29076331963297
"lancaster",16,6,0.160089786630124,4,11,0.246233821101487,8,9,0.249573726626113,6,3,0.0204697500681505,6,12,0.0802878192393109,14,14,0.294947793823667,12,15,0.0243341352324933
"philadelphia",13,14,0.201722696679644,16,5,0.00946608977392316,19,11,0.0127423864323646,12,10,0.208787460532039,14,3,0.0410664985422045,6,1,0.0922032343922183,4,5,0.0395720757544041
"richmond",20,1,0.0787202844629064,10,11,0.165267349267378,9,10,0.190528601291589,4,11,0.165408823429607,4,12,0.0117019913624972,6,9,0.0305715386755764,20,6,0.101968771149404
