"","J1","J2","J3","J4","J5","J6","J7","X1","X2","X3","X4","X5","X6","X7","PR1","PR2","PR3","PR4","PR5","PR6","PR7"
"baltimore",1,12,0.00786671543028206,6,10,0.135933475359343,13,8,0.156401443574578,11,8,0.0204078839393333,19,8,0.121993757528253,9,11,0.115578488563187,18,11,0.107454541046172
"lancaster",12,12,0.263280944852158,11,12,0.182281928043813,17,3,0.116054410580546,18,13,0.197608449775726,8,11,0.208482327195816,11,12,0.26793471656274,12,0,0.0508100582286716
"philadelphia",20,4,0.179819758166559,19,8,0.0769023076398298,18,8,0.178591157030314,17,5,0.0569198993733153,17,2,0.277969801984727,13,3,0.115111734392121,12,12,0.288593291980214
"richmond",13,8,0.0872579798335209,1,12,0.0683272342197597,3,13,0.208554978249595,9,13,0.0110281369881704,9,6,0.188966623018496,7,4,0.0966591872507706,16,6,0.16492779229302
